Ion Type (Normalized),Structure Type (raw),Structure Group (Canonical),Doping / and or GB Strategy,superionic conductor Formula (Chemical),Conductivity σ (S·cm⁻¹),Temperature (°C),Structure Group (Normalized),Structure Family (Grouped)
Na+,Anti-perovskite (bicrystal),Anti-Perovskite,Symmetric tilt GB Σ3(111),Na3OCl with Σ3(111) GB,0.0066,,Anti-perovskite,Anti-perovskite
Na+,Anti-perovskite (bicrystal),Anti-Perovskite,Symmetric tilt GB Σ5(021),Na3OCl with Σ5(021) GB,0.0056,,Anti-perovskite,Anti-perovskite
Na+,Anti-perovskite (defected),Anti-Perovskite,Single Na vacancy,Na2.96HS (Na-vacancy),0.033,,Anti-perovskite,Anti-perovskite
Na+,Anti-perovskite (halogen-doped),Anti-Perovskite,Br substitution + Na vacancy,Na2.92HS0.92Br0.07,0.148,,Anti-perovskite,Anti-perovskite
Na+,Anti-perovskite (halogen-doped),Anti-Perovskite,Cl substitution + Na vacancy,Na2.92HS0.92Cl0.07,0.138,,Anti-perovskite,Anti-perovskite
Na+,Anti-perovskite (halogen-doped),Anti-Perovskite,F substitution + Na vacancy,Na2.92HS0.92F0.07,0.106,,Anti-perovskite,Anti-perovskite
Na+,Anti-perovskite (halogen-doped),Anti-Perovskite,I substitution + Na vacancy,Na2.92HS0.92I0.07,0.112,,Anti-perovskite,Anti-perovskite
Na+,Antiperovskite,Anti-Perovskite,AlF4 cluster substitution + I doping,Na3S(AlF4)0.875I0.125,0.00204,,Anti-perovskite,Anti-perovskite
Na+,Antiperovskite,Anti-Perovskite,BF4 cluster substitution + Br doping,Na3O(BF4)0.875Br0.125,1e-05,,Anti-perovskite,Anti-perovskite
Na+,Ceramic (NaSICON),Ceramic,–,Na3.4Zr2Si2.4P0.6O12 (NaSICON),0.0034,,Ceramic,Ceramic
Na+,Ceramic (NaSICON),Ceramic,–,Na3Zr2Si2.3P0.7O11.85 (NaSICON),0.0017,,Ceramic,Ceramic
Na+,Composite polymer–ceramic (CSE),Polymer,–,PEO (50 wt%) / Na3.4Zr2Si2.4P0.6O12 (50 wt%),6.4e-06,,Composite Polymer–ceramic,Polymer
Na+,Composite polymer–ceramic (CSE),Polymer,–,PEO (50 wt%) / Na3Zr2Si2.3P0.7O11.85 (50 wt%),1.13e-05,,Composite Polymer–ceramic,Polymer
Na+,Crystalline halide,Halide,–,Na2ZrCl6 (NZC),1.3e-05,,Crystalline halide,Halide
Na+,Cubic,Cubic,–,c–Na3PS4,0.00057,,Cubic,Cubic
Na+,Cubic (I4̅3m),Cubic,–,"Na3PS4 (cubic, annealed 240 °C)",0.00013,,Cubic,Cubic
Na+,Gel polymer electrolyte (quasi-solid),Polymer,SN plasticizer + EMIMBF4 + NaBF4 salt,P(VdF-HFP) + SN + EMIMBF4 + NaBF4,0.00872,,Gel Polymer electrolyte,Polymer
Na+,Halide (amorphous / nanocrystalline),Halide,NaCl deficiency tuning (vacancy mediated),Na2.25-xY0.25Zr0.75Cl6-x (x=1.375–2.000),0.00012,,Halide,Halide
Na+,"Halide, UCl3-type (non-close-packed)",Halide,–,Na-UCl3 (NaCl–LaCl3–0.5TaCl5),0.00363,,"Halide, UCl3-type",Halide
Na+,"Halide, heterogeneous (UCl3-type + amorphous domains)",Halide,Interface engineering / dual-phase composite,HSE-Na (Halide Heterogeneous Structure Electrolyte – Na+),0.0027,,"Halide, heterogeneous",Halide
Na+,Natural polymer (lignin-based),Polymer,–,LG-SPE (lignin-based polymer + Na salt),0.00034,,Natural Polymer,Polymer
Na+,Polymer (PEO),Polymer,–,PEO (SPE),5.5e-06,,Polymer,Polymer
Na+,Rock-salt halide,Halide,In3+/Sc3+ mixed,Na3In0.333Sc0.667Cl6,3.5,,Rock-salt halide,Halide
Na+,Rock-salt halide,Halide,In3+/Sc3+ mixed,Na3In0.5Sc0.5Cl6,0.68,,Rock-salt halide,Halide
Na+,Rock-salt halide,Halide,Partial In3+/Sc3+ substitution,Na3In0.667Sc0.333Cl6,8.5,,Rock-salt halide,Halide
Na+,Rock-salt halide,Halide,Pure Sc3+,Na3ScCl6,0.0236,,Rock-salt halide,Halide
Na+,Rock-salt halide,Halide,–,Na3InCl6,2.86,,Rock-salt halide,Halide
Na+,Spinel halide,Halide,In3+/Sc3+ mixed,Na2In0.2Sc0.4Cl4,0.071,,Spinel halide,Halide
Na+,Spinel halide,Halide,In3+/Sc3+ mixed,Na2In0.4Sc0.2Cl4,0.00225,,Spinel halide,Halide
Na+,Spinel halide,Halide,–,Na2In0.666Cl4,0.22,,Spinel halide,Halide
Na+,Sulfide (crystalline),Sulfide,–,Na3PS4,7.5e-05,,Sulfide,Sulfide
Na+,Tetragonal,Tetra,–,t–Na3PS4,1.3e-06,,Tetragonal,Tetragonal
Na+,Tetragonal (P421c),Tetra,–,"Na3PS4 (tetragonal, annealed 480 °C)",1.9e-05,,Tetragonal,Tetragonal
Na+,Tetragonal (glass–ceramic),Tetra,Ca3N2 doping (10 mol%),"90Na3PS4–10Ca3N2 (x=10, glass–ceramic)",0.0006,,Tetragonal,Tetragonal
Na+,Tetragonal (glass–ceramic),Tetra,Ca3N2 doping (5 mol%),"95Na3PS4–5Ca3N2 (x=5, glass–ceramic)",0.0005,,Tetragonal,Tetragonal
Na+,Tetragonal (glass–ceramic),Tetra,Ca3N2 doping (8 mol%),"92Na3PS4–8Ca3N2 (x=8, glass–ceramic)",0.000814,,Tetragonal,Tetragonal
Na+,Tetragonal (glass–ceramic),Tetra,–,"Na3PS4 (x=0, glass–ceramic)",0.0002,,Tetragonal,Tetragonal
Na+,Trigonal,Trigonal,Na/Cl-deficient,Na0.4Yb0.25Zr0.75Cl4.15,0.0002,,Trigonal,Trigonal
Na+,Trigonal,Trigonal,Na/Cl-deficient,Na0.6Er0.4Zr0.6Cl4.2,5.7e-05,,Trigonal,Trigonal
Na+,Trigonal (HNISE),Trigonal,–,Na2ZrCl6,1.3e-05,,Trigonal,Trigonal
Na+,Trigonal (deficient),Trigonal,Na/Cl-deficient (vacancy engineering),Na0.5ZrCl4.5,8.1e-05,,Trigonal,Trigonal
Na+,γ-phase (superionic),Phase polymorph,–,γ–Na3PS4,0.0254,,γ-phase,Phase polymorph
Na+,–,,Yb substitution,Na2.25Yb0.25Zr0.75Cl6,,,,
O2-,Core–shell nanocomposite (SDC + amorphous carbonate),Composite,Sm3+ doping in CeO2 + amorphous Na2CO3 shell,"Ce0.8Sm0.2O1.9/Na2CO3 (20 wt% Na2CO3, core–shell)",0.1,,Core–shell nanocomposite,Composite
Rb+,Amorphous borate glass,Amorphous,–,(Rb2O)10(B2O3)90,1e-06,,Amorphous borate glass,Amorphous
Rb+,Amorphous borate glass,Amorphous,–,(Rb2O)15(B2O3)85,1e-05,,Amorphous borate glass,Amorphous
Rb+,Amorphous borate glass,Amorphous,–,(Rb2O)20(B2O3)80,0.0001,,Amorphous borate glass,Amorphous
Rb+,Amorphous borate glass,Amorphous,–,(Rb2O)30(B2O3)70,0.002,,Amorphous borate glass,Amorphous
