"Formula (Chemical)","Battery Type","Anode","Cathode","Ion Type","Structure Type","Doping / and or GB Strategy","Conductivity σ (S·cm⁻¹) / Temp (°C)","Conductivity σ (S·cm⁻¹) / Temp (°C) normalized","Activation Energy Ea (eV)","Retention %","Retention % normalized","Cycle Life (N cycles or hours)","Cycle Life normalized (cycles)","Synthesis Method (3–5 lines)","Reference (with DOI)","_row_id","Structure Group_x","Structure Group_y"
"Na0.5ZrCl4F0.5","ASSIB full cell","Na15Sn4 (with Na3PS4 interlayer)","Na3V2(PO4)3 (NVP)","Na+","Amorphous halide","F substitution","1.12e-4 / 25","0.000112","–","0.944","94.4","300 cycles @0.1C >800 h stable plating/stripping in symmetric cells","75.0","Ball milling of NaCl + ZrCl4 + ZrF4; amorphization by fluorination.","[155]","69","Amorphous","Halide"
"2.0-NFZC","ASSIB full cell","Na15Sn4 (with Na3PS4 interlayer)","Na3V2(PO4)3 (NVP)","Na+","Amorphous–nanocrystalline halide","F substitution","2.35e-4 / 25","0.000235","0.28","–","","Stable plating/stripping >800 h (symmetric cells, 0.1 mA cm-2); Full cell delivered stable cycling for 300 cycles at 0.1C with CE >99%.","200.0","NaF and ZrCl4 were ball-milled to prepare 2.0-NFZC. The resulting amorphous–nanocrystalline composite enabled robust Na+ transport and stability at high voltage.","[155]","70","Amorphous","Halide"
"Na2.25-xY0.25Zr0.75Cl6-x (x=1.625, 2.000)","ASSB full cell","Na15Sn4","NaCrO2","Na+","Halide (amorphous / nanocrystalline)","NaCl deficiency tuning","4.03e-4 (x=1.625), 1.2e-4 (x=2.000) / 25","0.000403","0.35 – 0.37","78–83%","78.0","500 cycles, CE ≈ 99.95%","500.0","Prepared by ball milling NaCl, YCl3, ZrCl4 under Ar with optimized Na deficiency. Cells exhibited stable cycling and high ICE (~96%).","[158]","71","Amorphous","Halide"
"Ce0.8Sm0.2O1.9/Na2CO3 (20 wt% Na2CO3)","Low-temperature SOFC (sandwich cell)","NiO + electrolyte","Lithiated NiO + electrolyte","O2-","Core–shell nanocomposite","Sm3+ doping + carbonate coating",">0.1 / >300","0.1","0.3","–","","Stable OCV ≈ 1.0 V; Max. power density 0.8 W/cm2 at 550 °C","1.0","Prepared by coprecipitation of SDC, mixed with Na2CO3, followed by drying, calcination, and hot pressing with NiO-based electrodes. Silver paste was applied as current collector for fuel cell testing.","[161]","72","Others","Others"
"PVDF-g-PAN + 34 wt% LiTFSI","Li-metal full cell","Li","NMC","Li+","Bicontinuous polymer nanostructure","–","5.8e-4 / 30","0.00058","0.21","–","",">200 cycles (0.1C); symmetric Li/Li stable >200 h","66.6667","Stable cycling at 0.1C with CE >99%; no short-circuit observed during Li plating/stripping.","[164]","73","Polymeric","Polymeric"
"SICP-EPN","Li-metal full cell","Li","NCM811","Li+","3D porous polymer + ether network","Sulfonated PVDF-HFP + PEGMEA polymer network with LiFSI/LiTFSI/LiNO3","3.8e-4 / 30","0.00038","–","~82%","82.0","250 cycles","250.0","Stable cycling with initial discharge capacity of 189 mAh/g at 0.5C, CE ≈ 99.7%; dendrite growth suppressed.","[165]","74","Polymeric","Polymeric"
"md-PVDF (2:8 PVDC:PVDF)","Symmetric Li|Li","Li","–","Li+","Polymer (PVDF)","PVDC doping + SN + LiTFSI","1.4e-3 / 25","0.0014","0.25","–","",">2000 h, 0.1 mA·cm⁻²","666.667","Stable polarization ~45 mV; CCD = 3.7 mA·cm⁻²; tLi⁺ = 0.54","[168]","75","Polymeric","Polymeric"
"md-PVDF (2:8 PVDC:PVDF)","Full cell","Li","LFP","Li+","Polymer (PVDF)","PVDC doping + SN + LiTFSI","1.4e-3 / 25","0.0014","0.25","0.975","97.5","500 cycles","500.0","LFP loading ~1.5–2 mg·cm⁻²; voltage 2.5–4.0 V","[168]","76","Polymeric","Polymeric"
"md-PVDF (2:8 PVDC:PVDF)","Full cell","Li","LFP","Li+","Polymer (PVDF)","PVDC doping + SN + LiTFSI","1.4e-3 / 25","0.0014","0.25","0.858","85.8","500 cycles,","500.0","Voltage 2.5–4.0 V","[168]","77","Polymeric","Polymeric"
"md-PVDF (2:8 PVDC:PVDF)","Full cell","Li","NCM811","Li+","Polymer (PVDF)","PVDC doping + SN + LiTFSI","1.4e-3 / 25","0.0014","0.25","0.825","82.5","80 cycles","80.0","Voltage 2.8–4.3 V; avg CE 99.5%","[168]","78","Polymeric","Polymeric"
"LG-SPE","Na-ion full cell","NTP (NaTi2(PO4)3)","NVP (Na3V2(PO4)3)","Na+","Natural polymer (lignin-based)","–","3.4e-4 / 25","0.00034","–","~82%","82.0","200 cycles","200.0","Full cell fabricated with LG-SPE separator between NVP cathode and NTP anode; stable cycling at RT with ~95 mAh/g initial capacity.","[169]","79","Polymeric","Polymeric"
"P(VdF-HFP) + SN + EMIMBF4 + NaBF4","Quasi-solid-state Na-ion supercapacitor","–","–","Na+","Gel polymer electrolyte","SN plasticizer + EMIMBF4 + NaBF4","8.72e-3 / 30","0.00872","–","~90%","90.0",">5000 cycles","5000.0","Symmetric device fabricated with activated carbon electrodes and GPE separator; showed ~168 F/g capacitance and wide ESW up to 3.5 V.","[170]","80","Polymeric","Polymeric"
"Li3InCl6 (water-mediated)","All-solid-state Li-ion battery (ASSLB)","Li-metal","NMC811","Li+","Halide (Li–In–Cl)","–","2.04e-3 / 25","0.00204","0.35","0.93","93.0","100 cycles","100.0","ASSLB assembled with Li metal anode, Li3InCl6 pellet electrolyte, and NMC811 cathode composite; pressed under Ar and cycled at RT.","[176]","81","Halide","Halide"
"Li6PS5Cl","Li/LTO half-cell","Li metal","Li4Ti5O12 (LTO)","Li⁺","Argyrodite (cubic)","–","3.4e-4 / RT","0.00034","0.399","–","","50 cycles (~110 mAh g-1 at 0.2C)","50.0","Electrolyte pressed into pellets in Ar glovebox; LTO cathode composite prepared (LTO/PVDF/Super P); Li foil as anode; tested at RT.","[188]","82","Argyrodite","Argyrodite"
"Li6PS5Cl·LiCl","Li/LTO half-cell","Li metal","Li4Ti5O12 (LTO)","Li⁺","Argyrodite composite","Excess LiCl doping","5.3e-4 / RT","0.00053","0.29","–","","50 cycles (~135 mAh g-1 at 0.2C)","50.0","Same procedure with Li6PS5Cl·LiCl pellets; tested 1–3 V window at RT.","[188]","83","Argyrodite","Argyrodite"
"Li₂.₃₇₅Sc₀.₃₇₅Zr₀.₆₂₅Cl₆ (LSZC)","All-Solid-State Battery (ASSB)","Li–In alloy (with Li₆PS₅Cl interlayer)","LiNi₀.₉₀Co₀.₀₅Mn₀.₀₅O₂ (Ni90) or LiNi₀.₈₀Co₀.₁₀Mn₀.₁₀O₂ (Ni80)","Li⁺","Halide (monoclinic)","Zr⁴⁺ substitution for Sc³⁺","2.2 mS·cm⁻¹ / 25 °C","0.0022","0.31","0.78","78.0","≈200 cycles (Ni90); up to 1000 cycles at 1C with 82.7% retention (Ni80)","200.0","Pelletized LSZC layer assembled between Li–In anode and Ni-rich cathode; Li₆PS₅Cl interlayer prevents SE reduction; cycled at 30 °C within 2.2–3.7 V (vs Li–In)","[189]","84","Halide","Halide"
"Li₂ZrCl₆ (LZC)","ASSB (TiS₂/LZC/LPSC/Li-In)","Li-In alloy (with LPSC interlayer)","TiS₂","Li⁺","Halide (hcp)","–","4.13 mS·cm⁻¹ / 25 °C","0.00413","0.424","43 % retention after 500 cycles @ 1 C","43.0","First Coulombic efficiency 89.78 %, discharge capacity 215 mAh·g⁻¹ at 0.1C; 43 % 500 cycles at 1C","89.78","Composite cathode with TiS₂:SE=70:30; LPSC layer between Li-In and SE; pressed at 240 MPa","[191]","85","Halide","Halide"
"ZrO₂–2Li₂ZrCl₆ (HNSE)","ASSB (Li-In||LCO) monolayer at 60 °C","Li-In alloy","LiCoO₂","Li⁺","Halide nanocomposite","Interfacial conduction","1.1 mS·cm⁻¹ / 30 °C","0.0011","0.31","0.68","68.0","ICE 91.8%, capacity retention 68.0% at 100th cycle (82.0 mAg⁻¹)","91.8","Mechanochemical as above; used as catholyte with LPSCl layer","[193]","86","Halide","Halide"
"ZrO₂–2Li₂ZrCl₅F (HNSE-F)","ASSB (Li-In||LCO) monolayer at 60 °C","Li-In alloy","LiCoO₂","Li⁺","Halide nanocomposite (fluorinated)","F-substitution plus interfacial conduction","0.49 mS·cm⁻¹ / 30 °C","0.00049","–","0.937","93.7","ICE 94.5%, capacity retention 93.7% at 100th cycle (82.0 mAg⁻¹)","94.5","Same mechanochemical fluorinated synthesis; compatible with LPSCl","[193]","87","Halide","Halide"
"ZrO₂–2Li₂ZrCl₅F (HNSE-F)","ASSB (Li-In||S-NCM88) at 30 °C, 400 mAg⁻¹","Li-In alloy","S-NCM88","Li⁺","Halide nanocomposite (fluorinated)","High-voltage stability up to 4.7 V (vs. Li/Li+)","0.49 mS·cm⁻¹ / 30 °C","0.00049","–","0.908","90.8","Capacity retention 90.8% after 1000 cycles at 400 mAg⁻¹ (long cycle life)","90.8","Same mechanochemical fluorinated synthesis; LPSCl monolayer used","[193]","88","Halide","Halide"
"Li₂.633Er₀.633Zr₀.367Cl₆","ASSB (LiCoO₂/chloride-SE|Li₃PS₄|Li₁₁Sn₆) at RT","Li₁₁Sn₆ with Li₃PS₄ additive","LiCoO₂ (bare, uncoated)","Li⁺","Halide (phase III)","Zr⁴⁺ substitution (max conductivity)","1.1×10⁻³ / 25 °C","0.0011","–","≈ 88 %","88.0",">200 cycles at 3.0–4.3 V, high CE >96%","200.0","Solid-state prepared chloride SE mixed 70:30 with LCO, 20 wt% Li₃PS₄ added to Li₁₁Sn₆ for counter electrode","[195]","89","Halide","Halide"
"Li₂.5Y₀.5Zr₀.5Cl₆","ASSB (LiCoO₂/chloride-SE|Li₃PS₄|Li₁₁Sn₆) at RT","Li₁₁Sn₆ with Li₃PS₄ additive","LiCoO₂","Li⁺","Halide (phase III, Y system)","Zr⁴⁺ substitution","1.4×10⁻³ / 25 °C","0.0014","0.33","≈ 93 %","93.0","Similar high CE, higher capacity with 15 wt% SE in cathode","15.0","Same solid-state synthesis; used as chloride SE in cathode composite","[195]","90","Halide","Halide"
"Li₇Ag₀.₁P₃S₁₁I₀.₁ (270 °C)","All-solid-state half-cell (In/Li₇Ag₀.₁P₃S₁₁I₀.₁/NCM 622/In at 1C)","Indium foil","LiNbO₃-coated NCM 622 (70:28:2 cathode composite)","Li⁺","Sulfide glass-ceramic","0.2 M AgI doping/mixing","1.35 mS·cm⁻¹ / 25 °C","0.00135","0.23","–","","76.25 mAh g⁻¹ first cycle; 45.7 mAh g⁻¹ at 10th cycle at 1C; wide window 5 V; Li/Li symmetric >100 h stable","25.4167","High-energy wet ball milling Li₂S+P₂S₅+AgI, dried 80 °C 12 h, sintered 270 °C 3 h; cathode composite pressed onto pellet","[197]","91","Amorphous","Amorphous"
"Li₂.₂ZrCl₅.₈S₀.₂","ASSB (Li-In||LiNi₀.₈Co₀.₁Mn₀.₁O₂) at RT","Li-In alloy","NCM811 (LiNi₀.₈Co₀.₁Mn₀.₁O₂) 70:30 composite with SE","Li⁺","Halide (trigonal)","0.2 S²⁻ substitution for Cl⁻","8.55×10⁻⁴ / 25 °C","0.000855","0.34","93 % retention after 100 cycles at 0.5C","93.0","175 mAh g⁻¹ initial capacity; 93 % retention after 100 cycles at 0.5C","175.0","Mechanochemical S-substituted Li₂ZrCl₆ as above; cathode composite pressed 300 MPa onto pellet; Li-In anode; assembled in Ar glovebox","[200]","92","Halide","Halide"
"Li₁₀P₃S₁₂Br (LPSBr)","ASSB (Li–In | SE | NMC111) at RT, 0.1C, 2.0–3.7 V vs Li–In","Li–In alloy","NMC111 (LiNbO₃-coated, composite 70:30:3 with SE:VGCF)","Li⁺","thio-LISICON II","–","1.7e-3 / 25","0.0017","0.288","–","","50 cycles","50.0","SE: ball-mill 500 rpm 15 h; heat 190 °C 3 h. Cathode: 10 mg composite on SE pellet; press 255 MPa, 10 min (RT). Attach Li–In; press 127 MPa, 5 min; assemble in Ar glovebox.","[201]","93","NASICON","Others"
"Li₁₀P₃S₁₂I (LPSI)","ASSB (Li–In | SE | NMC111) at RT, 0.1C, 2.0–3.7 V vs Li–In","Li–In alloy","NMC111 (LiNbO₃-coated, composite 70:30:3 with SE:VGCF)","Li⁺","thio-LISICON II","–","2.9e-3 / 25","0.0029","0.209","–","","50 cycles","50.0","SE: ball-mill 500 rpm 15 h; heat 190 °C 3 h. Cathode: 10 mg composite on SE pellet; press 255 MPa, 10 min (RT). Attach Li–In; press 127 MPa, 5 min; assemble in Ar glovebox.","[201]","94","NASICON","Others"
"Li₁₀P₃S₁₂Br₀.₆I₀.₄","ASSB (Li–In | SE | NMC111) at RT, 0.1C, 2.0–3.7 V vs Li–In","Li–In alloy","NMC111 (LiNbO₃-coated, composite 70:30:3 with SE:VGCF)","Li⁺","thio-LISICON II","Mixed-halide Br/I (x=0.4)","3.9e-3 / 25","0.0039","0.204","–","","50 cycles","50.0","SE: ball-mill 500 rpm 15 h; heat 190 °C 3 h. Cathode: 10 mg composite on SE pellet; press 255 MPa, 10 min (RT). Attach Li–In; press 127 MPa, 5 min; assemble in Ar glovebox.","[201]","95","NASICON","Others"
"Li₂.₇Y₀.₉Hf₀.₁Cl₆ (x=0.1)","All-solid-state Li-metal battery (Li-metal‖LCO) at RT, 0.1 C, 2.7–4.2 V","Li-metal foil","LiCoO₂ composite (SE + carbon)","Li⁺","Halide (trigonal)","10% Hf⁴⁺ substitution for Y³⁺","1.49×10⁻³ / 25 °C","0.00149","0.331","70 % after 100 cycles @ 0.1 C","70.0","120 mAh g⁻¹ initial; 93 % coulombic efficiency; 70 % capacity retention after 100 cycles at 0.1 C","120.0","Mechanochemical Hf-substituted Li₃YCl₆ (milling LiCl, YCl₃, HfCl₄ 550 rpm 50 h under Ar); pelletized; cathode composite pressed ~250–300 MPa onto SE pellet; Li-metal anode assembled in Ar glovebox","[202]","96","Halide","Halide"
"Li₃GdBr₆","ASSB (Li–In‖LiCoO₂) at RT, 0.1C","Li–In alloy","LiCoO₂ composite (SE + carbon)","Li⁺","Halide (orthorhombic)","Lanthanide replacement","5.2×10⁻³ / 25 °C","0.0052","0.28","90 %","90.0","140 mAh g⁻¹ initial capacity at 0.1C; 90 % retention after 50 cycles","140.0","Co-melting LiBr and GdBr₃, ball milling, pellet pressed ~250 MPa; cathode composite pressed onto pellet, Li–In anode attached in Ar glovebox","[204]","97","Halide","Halide"
"Li1.7Zr0.7Ta0.3Cl6","ASSB (Li-metal‖LCO) at RT, 0.05 C","Lithium metal foil (50 µm)","LiCoO₂ composite (SE + carbon) pressed on SE pellet","Li⁺","Halide (trigonal)","30 % Ta⁵⁺ substitution for Zr⁴⁺","1.42×10⁻³ / 25 °C","0.00142","0.29","–","","129.9 mAh g⁻¹ initial capacity at 0.05 C; stable over 100 cycles","129.9","Mechanochemical: LiCl, ZrCl₄, TaCl₅ (stoich) ball-milled 550 rpm 50 h under Ar; SE pellet pressed ~300 MPa; cathode composite pressed onto SE; Li-metal foil anode assembled in Ar glovebox","[205]","98","Halide","Halide"
"Li1.7Zr0.7Ta0.3Cl6","ASSB (Li-metal‖scNCM811) at RT, 1 C","Lithium metal foil (50 µm)","single-crystal NCM811 composite (SE + carbon) pressed on SE pellet","Li⁺","Halide (trigonal)","30 % Ta⁵⁺ substitution for Zr⁴⁺","1.42×10⁻³ / 25 °C","0.00142","0.29","85.7 %","85.7","85.7 % capacity retention after 600 cycles at 1 C","85.7","Same mechanochemical SE; cathode composite with scNCM811 pressed onto SE pellet; Li-metal foil anode; all assembled in Ar glovebox","[205]","99","Halide","Halide"
"Li₃.₄ScCl₆.₄","ASSB (Li-metal‖LCO) at RT","Lithium metal foil","LiCoO₂ composite (SE + carbon)","Li⁺","Halide (trigonal)","Excess LiCl (site-occupation tuning)","2.10×10⁻³ / 25 °C","0.0021","0.3","92 %","92.0","Initial capacity ~135 mAh g⁻¹ at 0.1 C; 92 % retention after 100 cycles","135.0","Co-melting LiCl and ScCl₃ with LiCl excess x=0.4 at 400 °C under Ar; quenching; ball milling; pellet pressed ~300 MPa; cathode composite pressed onto SE pellet; Li-metal foil anode assembled in Ar glovebox","[206]","100","Halide","Halide"
"Li1.3Al0.3Ti1.65Zr0.05(PO4)3","ASSB (Li-metal‖LFP) at RT","Lithium metal foil","LiFePO₄ composite (SE + carbon)","Li⁺","NASICON","0.05 Zr⁴⁺ substitution","3.4×10⁻⁴ / 25 °C","0.00034","0.34","90 %","90.0","Initial capacity 148 mAh g⁻¹ at 0.1 C; 90 % retention after 100 cycles","148.0","Modified sol–gel Zr-doped NASICON as above; pellet pressed 300 MPa; cathode composite pressed onto SE pellet; Li-metal foil anode assembled in Ar glovebox","[209]","101","NASICON","NASICON"
"Li1.3Al0.3Ti1.65Zr0.05(PO4)3","ASSB (graphite‖NCM523) at RT","Graphite","NCM523 composite (SE + carbon)","Li⁺","NASICON","0.05 Zr⁴⁺ substitution","3.4×10⁻⁴ / 25 °C","0.00034","0.34","91 %","91.0","91 % capacity retention after 200 cycles at 0.5 C","91.0","Same SE; cathode composite with NCM523 pressed onto SE pellet; graphite anode assembled in Ar glovebox","[209]","102","NASICON","NASICON"
"Na₀.₉₇K₀.₀₃Ti₁.₉₅Al₀.₀₅(PO₄)₂.₉₅(SiO₄)₀.₀₅/C","Half-cell (Na-metal‖NTP-KAS) with liquid electrolyte NaPF₆ (EC/DEC+FEC)","Sodium metal","NTP-KAS (carbon-coated) electrode","Na⁺","NASICON-type","Tri-site co-doping + C coating","–","","–","96.49% retention after 500 cycles 92.27% retention after 3000 cycles","96.49","Initial capacity 129.3 mAh g⁻¹ at 10 mA g⁻¹; coulombic efficiency 95.45%; 96.49% retention after 500 cycles at 0.1 A g⁻¹; 92.27% retention after 3000 cycles at 1.0 A g⁻¹","129.3","Sol–gel NTP-KAS powder as above, mixed with conductive carbon, coated on Cu foil, assembled with Na metal counter electrode and glass fiber separator in Ar glovebox","[211]","103","NASICON","NASICON"
"Na₃Co₂/₃Ti₂/₃V₂/₃(PO₄)₃/C/rGO (NCTVP)","Half-cell (Na-metal‖NCTVP) in 1 M NaClO₄ (EC:DEC:FEC 45:45:10)","Sodium metal","NCTVP (carbon-coated + rGO)","Na⁺","NASICON-type","Co²⁺ substitution + rGO additive","–","","–","retention 87.4 % after 100 cycles, retention 83.3 % after 500 cycles","87.4","Initial capacity 163.8 mAh g⁻¹ at 20 mA g⁻¹; energy density 432 Wh kg⁻¹; retention 87.4 % after 100 cycles at 50 mA g⁻¹; retention 83.3 % after 500 cycles at 200 mA g⁻¹","163.8","Sol–gel NCTVP powder as above, mixed with conductive carbon/rGO, coated on Al foil, assembled with Na metal counter electrode and glass fiber separator in Ar glovebox","[212]","104","NASICON","NASICON"
"Na₃Co₂/₃Ti₂/₃V₂/₃(PO₄)₃/C/rGO (NCTVP)","Full cell (Hard Carbon‖NCTVP) in 1 M NaClO₄ (EC:DEC:FEC 45:45:10)","Hard carbon","NCTVP cathode","Na⁺","NASICON-type","Co²⁺ substitution + rGO additive","–","","–","91–92 % after 100 cycles @ 50","91.0","Energy density 359 Wh kg⁻¹; stable performance over 100 cycles at 50 mA g⁻¹ with coulombic efficiency >99 %","359.0","Same SE; cathode composite with NCTVP pressed onto Al foil; hard carbon anode assembled in Ar glovebox","[212]","105","NASICON","NASICON"
"Na₃.₆VMn₀.₉W₀.₁(PO₄)₃/C (VMW-0.1)","Half-cell (Na-metal‖VMW-0.1) in 1 M NaClO₄ (EC/DEC:FEC)","Sodium metal","VMW-0.1 carbon-coated electrode","Na⁺","NASICON-type","0.1 W⁶⁺ substitution for Mn²⁺","4.27×10⁻³ (electronic) / RT","0.00427","–","74.9 %","74.9","Capacity 74.7 mAh g⁻¹ at 100 C; 74.9 % retention after 10 000 cycles at 20 C (0.00189 % per cycle fade)","74.7","Sol–gel VMW-0.1 powder as above, mixed with conductive carbon, coated on Al foil, assembled with Na metal counter electrode and glass fiber separator in Ar glovebox","[213]","106","NASICON","NASICON"
"Na₃.₆VMn₀.₉W₀.₁(PO₄)₃/C (VMW-0.1)","Full cell (Hard Carbon‖VMW-0.1) in 1 M NaClO₄ (EC/DEC:FEC)","Hard carbon","VMW-0.1 cathode","Na⁺","NASICON-type","0.1 W⁶⁺ substitution","4.27×10⁻³ (electronic) / RT","0.00427","–","80.5 %","80.5","Initial capacity 89.27 mAh g⁻¹ at 0.2 C; 73.7 mAh g⁻¹ after 200 cycles at 1 C (80.5 % retention)","89.27","Same SE; cathode composite with VMW-0.1 pressed onto Al foil; hard carbon anode assembled in Ar glovebox","[213]","107","NASICON","NASICON"
"Li₂.₁Zr₀.₈Dy₀.₁₅Ta₀.₀₅Cl₆ (LZDTC)","Full cell (Li-In‖LGPS-LZDTC/NCM811)","Li-In alloy","NCM811 composite with LGPS-LZDTC SSE","Li⁺","Halide (trigonal)","Rare earth Dy³⁺ doping + Ta⁵⁺ substitution","1.67×10⁻³ / 25 °C","0.00167","0.272","74 %","74.0","Initial capacity 158 mAh g⁻¹ at 0.1 C; 117 mAh g⁻¹ after 500 cycles at 0.5 C (74 % retention)","158.0","LZDTC powder as above pressed into pellet (300 MPa), sandwiched with LGPS and NCM811 cathode; Li-In alloy as anode assembled in Ar glovebox","[214]","108","Halide","Halide"
"HELa0.5","Symmetric Li | HELa0.5 | Li","Lithium metal","Lithium metal (symmetric)","Li⁺","Halide (amorphous–crystalline)","Multiple-cation (Ta, Zr, Al, Ca) doped LaCl₃-based system","0.82×10⁻³ / 25 °C","0.00082","0.34","≈ 100 %","100.0","Stable >4000 h at 4 mA·cm⁻²; CCD up to 12 mA·cm⁻²","1333.33","Powder from high-energy ball milling (LiCl, LaCl₃, TaCl₅, ZrCl₄, AlCl₃, CaCl₂) pressed as pellet; symmetric Li|SE|Li assembled in Ar glovebox.","[215]","109","Amorphous","Halide"
"HELa0.5","Full cell (Li–In ‖ LCO)","Li–In alloy","LiCoO₂ composite cathode","Li⁺","Halide (amorphous–crystalline)","Multiple-cation (Ta, Zr, Al, Ca) doped LaCl₃-based system","0.82×10⁻³ / 25 °C","0.00082","0.34","0.842","84.2","159 mAh·g⁻¹ at 0.1 C; 84.2% retention after 640 cycles at 0.5 C","159.0","HELa0.5 powder (ball-milled mixture above) pressed as separator/electrolyte; LCO composite laminated on SE; Li–In counter electrode; assembly in Ar glovebox.","[215]","110","Amorphous","Halide"
"LPBiSClF₀.₀₆","Symmetric cell (Li|SE|Li)","Lithium metal","Lithium metal (symmetric)","Li⁺","Cubic argyrodite","Bi + F dual-doping","5.37 mS·cm⁻¹ / RT","0.00537","0.28","≈ 100 %","100.0","CCD=2.1 mA·cm⁻²; stable Li plating/stripping over 200 h at 0.5 mA·cm⁻² and 0.5 mAh·cm⁻² with ~20 mV overpotential","0.7","Same SE pellet (100 mg) pressed 380 MPa; Li foils attached both sides at 60 MPa in Ar glovebox to form symmetric cell","[219]","111","Argyrodite","Argyrodite"
"LPBiSClF₀.₀₆","Full ASSLMB (LCO@LNO/SE/Li)","Lithium metal","LiCoO₂@LiNbO₃ composite cathode (LCO@LNO)","Li⁺","Cubic argyrodite","Bi + F dual-doping","5.37 mS·cm⁻¹ / RT","0.00537","0.28","0.784","78.4","168.19 mAh·g⁻¹ initial, 78.4% retention after 100 cycles at 0.2C","168.19","Composite cathode (LCO@LNO:SE:VGCF=70:28:2) on SE pellet (pressed 380 MPa); Li foil attached other side at 60 MPa","[219]","112","Argyrodite","Argyrodite"
"Na₃V₂(PO₄)₃ (NVP)","Symmetric cell (NVP as protective layer on Zn foil)","NVP@Zn (Zn foil coated with NVP)","NVP@Zn (Zn foil coated with NVP)","Zn²⁺","NASICON NVP","–","–","","–","–","","Stable 500 h at 0.5 mA cm⁻² (0.25 mAh cm⁻²), 300 h at 2 & 5 mA cm⁻² with small hysteresis ~32 mV; lower corrosion current (1.27 mA cm⁻² vs 40.96 mA cm⁻² bare Zn)","166.667","Same sol–gel NVP synthesis and coating on Zn foil; symmetric cell assembled with glass fiber separator and 2 m ZnSO₄+0.1 m MnSO₄ electrolyte","[224]","113","NASICON","NASICON"
"Na₃V₂(PO₄)₃ (NVP)","Full AZIB (NVP as protective layer on Zn foil vs α-MnO₂ cathode)","NVP@Zn","α-MnO₂ (hydrothermal nanorods)","Zn²⁺","NASICON NVP protective layer","–","–","","–","0.746","74.6","Specific discharge capacity up to 168 mAh g⁻¹ at 1 A g⁻¹, 74.6% retention after 1000 cycles; at 0.3 A g⁻¹ up to 220 mAh g⁻¹ (vs 100 mAh g⁻¹ for bare Zn); lower charge transfer resistance (148 Ω vs 628 Ω)","168.0","α-MnO₂ cathode: hydrothermal; slurry (α-MnO₂:PVDF:SuperP=7:2:1) coated on steel mesh, dried; coin cell CR2016 assembled with glass fiber separator and electrolyte 2 m ZnSO₄+0.1 m MnSO₄","[224]","114","NASICON","NASICON"
"P:Si=6 glass (75Li₂S–25P₂S₅ + 40 mol% LiI + SiS₂)","Symmetric cell","Li","Li","Li⁺","Glassy sulfide","LiI doping + SiS₂ substitution","2.21×10⁻³ / 25 °C","0.00221","0.253","–","","Stable 8000 h @ 0.1 mA cm⁻²; 1500 h @ 1 mA cm⁻²; CCD up to 1.2 mA cm⁻²","2666.67","Cold-pressed at 300 MPa, Li foil pressed on both sides; tested at 25 °C","[225]","115","Amorphous","Amorphous"
"P:Si=6 glass","Full cell","Li metal (100 µm foil)","NCM83125","Li⁺","Glassy sulfide","LiI+Si doped","2.21×10⁻³ / 25 °C","0.00221","0.253","0.824","82.4","82.4% retention after 500 cycles @ 0.25 mA cm⁻² (0.2C)","82.4","NCM83125:Li₅.₄PS₄.₄Cl₁.₆ = 7:3 composite cathode; full cell assembled with 300 MPa pressing","[225]","116","Amorphous","Amorphous"
"Composite electrolyte (C:G=7, Li₅.₄PS₄.₄Cl₁.₆ + 12.5 wt% P:Si=6 glass)","Symmetric cell","Li","Li","Li⁺","Composite (argyrodite+glass)","Glass filler","~6.0×10⁻³ / 25 °C","0.006","–","–","","Stable 3000 h @ 1 mA cm⁻², 1 mAh cm⁻²; 900 h @ 1 mA cm⁻², 3 mAh cm⁻²; CCD up to 2.9 mA cm⁻²","1000.0","Ball-milled Li₅.₄PS₄.₄Cl₁.₆ with 12.5 wt% P:Si=6 glass (110 rpm, 1 h)","[225]","117","Argyrodite","Amorphous"
"Composite electrolyte (C:G=7)","Full cell","Li","NCM83125","Li⁺","Composite (argyrodite+glass)","–","~6.0×10⁻³ / 25 °C","0.006","–","0.824","82.4","82.4% retention after 500 cycles @ 0.25 mA cm⁻²","82.4","Li metal foil + C:G=7 electrolyte pellet (360 MPa) + composite cathode (NCM83125:Li₅.₄PS₄.₄Cl₁.₆ = 7:3)","[225]","118","Argyrodite","Amorphous"
"Li₃InCl₄.₈F₁.₂","ASSLB (high-voltage)","Li metal (or Li–In, per setup)","High-voltage layered oxide (per paper)","Li⁺","Halide SE + layered oxide composite","F⁻ substitution (dual-halogen)","5.1e-4 / 25","0.00051","–","–","","–","","SE prepared as above; composite cathode with active oxide + SE; pressed pellets; assembled under dry atmosphere.","[229]","119","Halide","Halide"
"Li₅.₅PS₄.₅Cl₁.₅","All-solid-state Li-metal battery","Li metal","High-loading NCM cathode composite","Li⁺","Sulfide SE + layered oxide composite","Size-controlled argyrodite particles","4.98e-3 / 25","0.00498","–","–","","Demonstrated high-rate and long-cycle stability (>500 cycles at 0.5C); details in article","500.0","Wet-chemical synthesized Li₅.₅PS₄.₅Cl₁.₅ SE used as separator and in composite cathode; pressed under dry atmosphere.","[231]","120","Others","Others"
